Source,Target,Type,Weight
154,56,Directed,1.0
154,220,Directed,1.0
155,274,Directed,1.0
156,292,Directed,4.0
158,83,Directed,4.0
158,243,Directed,4.0
158,191,Directed,2.0
159,157,Directed,2.0
160,108,Directed,1.0
161,40,Directed,2.0
163,137,Directed,2.0
163,40,Directed,2.0
164,46,Directed,1.0
165,191,Directed,2.0
165,170,Directed,2.0
167,224,Directed,2.0
167,191,Directed,1.0
167,144,Directed,2.0
168,184,Directed,2.0
168,102,Directed,1.0
169,90,Directed,1.0
169,191,Directed,1.0
170,243,Directed,1.0
170,191,Directed,1.0
171,203,Directed,2.0
171,7,Directed,1.0
171,25,Directed,1.0
171,292,Directed,1.0
171,49,Directed,1.0
171,259,Directed,2.0
171,109,Directed,1.0
171,191,Directed,2.0
171,47,Directed,2.0
172,191,Directed,2.0
172,207,Directed,2.0
173,198,Directed,1.0
175,127,Directed,2.0
175,191,Directed,2.0
176,56,Directed,1.0
176,14,Directed,1.0
176,191,Directed,1.0
176,281,Directed,1.0
176,18,Directed,1.0
177,162,Directed,4.0
177,138,Directed,2.0
177,220,Directed,4.0
178,137,Directed,1.0
178,243,Directed,1.0
178,40,Directed,1.0
179,8,Directed,1.0
179,248,Directed,1.0
179,274,Directed,1.0
180,191,Directed,1.0
182,191,Directed,1.0
183,191,Directed,1.0
183,243,Directed,1.0
183,127,Directed,2.0
184,224,Directed,2.0
184,144,Directed,2.0
185,196,Directed,1.0
185,271,Directed,2.0
185,249,Directed,1.0
185,274,Directed,2.0
185,114,Directed,1.0
185,132,Directed,2.0
185,8,Directed,2.0
185,252,Directed,2.0
185,297,Directed,2.0
185,248,Directed,2.0
186,196,Directed,1.0
186,252,Directed,2.0
187,40,Directed,2.0
188,191,Directed,1.0
188,298,Directed,1.0
189,243,Directed,2.0
190,46,Directed,4.0
191,162,Directed,4.0
191,239,Directed,4.0
191,5,Directed,2.0
191,82,Directed,2.0
191,7,Directed,1.0
191,243,Directed,2.0
191,49,Directed,1.0
191,171,Directed,2.0
191,174,Directed,2.0
191,95,Directed,1.0
191,257,Directed,2.0
191,28,Directed,2.0
191,209,Directed,2.0
191,83,Directed,4.0
191,39,Directed,2.0
191,43,Directed,2.0
191,121,Directed,1.0
191,122,Directed,1.0
191,112,Directed,2.0
191,127,Directed,2.0
191,208,Directed,2.0
191,47,Directed,1.0
191,56,Directed,2.0
191,281,Directed,2.0
191,150,Directed,4.0
192,2,Directed,2.0
193,191,Directed,1.0
195,8,Directed,1.0
195,196,Directed,1.0
195,204,Directed,1.0
195,132,Directed,1.0
195,274,Directed,1.0
196,195,Directed,1.0
196,8,Directed,1.0
196,265,Directed,1.0
196,248,Directed,1.0
196,185,Directed,1.0
197,243,Directed,1.0
197,191,Directed,2.0
198,223,Directed,4.0
198,191,Directed,2.0
198,40,Directed,2.0
198,273,Directed,2.0
199,83,Directed,2.0
199,243,Directed,1.0
199,191,Directed,1.0
199,5,Directed,1.0
200,177,Directed,1.0
201,8,Directed,1.0
201,132,Directed,1.0
201,274,Directed,1.0
202,191,Directed,1.0
203,7,Directed,1.0
203,25,Directed,2.0
203,49,Directed,2.0
203,171,Directed,2.0
203,191,Directed,2.0
203,47,Directed,2.0
204,185,Directed,1.0
204,271,Directed,1.0
204,48,Directed,1.0
204,274,Directed,1.0
204,114,Directed,1.0
204,248,Directed,1.0
204,8,Directed,1.0
204,252,Directed,1.0
204,132,Directed,1.0
205,223,Directed,4.0
205,191,Directed,2.0
205,40,Directed,2.0
206,191,Directed,1.0
209,152,Directed,4.0
209,191,Directed,2.0
209,135,Directed,4.0
210,191,Directed,1.0
211,209,Directed,1.0
212,43,Directed,2.0
212,5,Directed,2.0
212,181,Directed,2.0
212,83,Directed,2.0
212,243,Directed,1.0
212,191,Directed,2.0
214,191,Directed,2.0
214,220,Directed,1.0
215,191,Directed,1.0
216,191,Directed,2.0
217,184,Directed,2.0
217,168,Directed,2.0
217,87,Directed,2.0
217,102,Directed,2.0
218,46,Directed,1.0
219,270,Directed,1.0
220,239,Directed,2.0
220,191,Directed,2.0
220,154,Directed,1.0
221,243,Directed,2.0
221,191,Directed,2.0
221,148,Directed,2.0
222,83,Directed,1.0
222,191,Directed,1.0
223,198,Directed,4.0
223,191,Directed,2.0
224,184,Directed,2.0
224,57,Directed,2.0
224,58,Directed,4.0
224,54,Directed,2.0
225,230,Directed,1.0
227,213,Directed,2.0
227,191,Directed,2.0
227,142,Directed,2.0
228,13,Directed,4.0
229,258,Directed,4.0
230,263,Directed,1.0
230,39,Directed,1.0
231,191,Directed,1.0
232,83,Directed,1.0
232,191,Directed,1.0
233,83,Directed,2.0
233,191,Directed,2.0
234,191,Directed,1.0
235,250,Directed,4.0
235,191,Directed,2.0
235,26,Directed,4.0
236,96,Directed,1.0
237,191,Directed,1.0
